,Name,URL,ISIN,WKN,SymbolFinanzen.net,Country,Yahoo Ticker,Yahoo online
127,WashTec,http://www.finanzen.net/aktien/WashTec-Aktie,DE0007507501,750750,WSU,Deutschland,WSU.DE,True
128,Wüstenrot Württembergische,http://www.finanzen.net/aktien/Wuestenrot-Aktie,DE0008051004,805100,WUW,Deutschland,WUW.DE,True
129,zooplus,http://www.finanzen.net/aktien/zooplus-Aktie,DE0005111702,511170,,Deutschland,ZO1.DE,True
130,1&1 Drillisch,http://www.finanzen.net/aktien/Drillisch-Aktie,DE0005545503,554550,DRI,Deutschland,DRI.DE,True
131,ADVA,http://www.finanzen.net/aktien/ADVA-Aktie,DE0005103006,510300,ADV,Deutschland,ADV.DE,True
132,AIXTRON,http://www.finanzen.net/aktien/AIXTRON-Aktie,DE000A0WMPJ6,A0WMPJ,AIX,Deutschland,AIXA.DE,True
133,Bechtle,http://www.finanzen.net/aktien/Bechtle-Aktie,DE0005158703,515870,BC8,Deutschland,BC8.DE,True
134,CANCOM,http://www.finanzen.net/aktien/CANCOM-Aktie,DE0005419105,541910,COK,Deutschland,COK.DE,True
135,Carl Zeiss Meditec,http://www.finanzen.net/aktien/Carl_Zeiss_Meditec-Aktie,DE0005313704,531370,AFX,Deutschland,AFX.DE,True
136,CompuGroup Medical,http://www.finanzen.net/aktien/CompuGroup_Medical-Aktie,DE0005437305,543730,COP,Deutschland,COP.DE,True
137,Dialog Semiconductor,http://www.finanzen.net/aktien/Dialog_Semiconductor-Aktie,GB0059822006,927200,DLG,Großbritannien,DLG.DE,True
138,Drägerwerk,http://www.finanzen.net/aktien/Draegerwerk-Aktie,DE0005550636,555063,DRW3,Deutschland,DRW3.DE,True
139,EVOTEC,http://www.finanzen.net/aktien/EVOTEC-Aktie,DE0005664809,566480,EVT,Deutschland,EVT.DE,True
140,freenet,http://www.finanzen.net/aktien/freenet-Aktie,DE000A0Z2ZZ5,A0Z2ZZ,FRN,Deutschland,FNTN.DE,True
141,GFT,http://www.finanzen.net/aktien/GFT-Aktie,DE0005800601,580060,GFT,Deutschland,GFT.DE,True
142,JENOPTIK,http://www.finanzen.net/aktien/JENOPTIK-Aktie,DE0006229107,622910,JEN,Deutschland,JEN.DE,True
143,Medigene,http://www.finanzen.net/aktien/Medigene-Aktie,DE000A1X3W00,A1X3W0,MDG,Deutschland,MDG1.DE,True
144,MorphoSys,http://www.finanzen.net/aktien/MorphoSys-Aktie,DE0006632003,663200,MOR,Deutschland,MOR.DE,True
145,Nemetschek,http://www.finanzen.net/aktien/Nemetschek-Aktie,DE0006452907,645290,NEM,Deutschland,NEM.DE,True
146,Nordex,http://www.finanzen.net/aktien/Nordex-Aktie,DE000A0D6554,A0D655,NDX1,Deutschland,NDX1.DE,True
147,Pfeiffer Vacuum,http://www.finanzen.net/aktien/Pfeiffer_Vacuum-Aktie,DE0006916604,691660,PFV,Deutschland,PFV.DE,True
148,QIAGEN,http://www.finanzen.net/aktien/QIAGEN-Aktie,NL0012169213,A2DKCH,QGEN,Niederlande,QIA.DE,True
